,Date,Heure,Mois,Jours,Prix
125,2024-07-06,5,July,Saturday,4.2
126,2024-07-06,6,July,Saturday,6.63
127,2024-07-06,7,July,Saturday,5.38
128,2024-07-06,8,July,Saturday,3.4
129,2024-07-06,9,July,Saturday,0.0
130,2024-07-06,10,July,Saturday,-9.57
131,2024-07-06,11,July,Saturday,-28.12
132,2024-07-06,12,July,Saturday,-28.91
133,2024-07-06,13,July,Saturday,-28.33
134,2024-07-06,14,July,Saturday,-48.08
135,2024-07-06,15,July,Saturday,-54.63
136,2024-07-06,16,July,Saturday,-45.93
137,2024-07-06,17,July,Saturday,-20.09
138,2024-07-06,18,July,Saturday,-0.82
139,2024-07-06,19,July,Saturday,2.38
140,2024-07-06,20,July,Saturday,9.23
141,2024-07-06,21,July,Saturday,10.44
142,2024-07-06,22,July,Saturday,20.39
143,2024-07-06,23,July,Saturday,16.43
144,2024-07-07,0,July,Sunday,2.69
145,2024-07-07,1,July,Sunday,2.39
146,2024-07-07,2,July,Sunday,1.7
147,2024-07-07,3,July,Sunday,1.89
148,2024-07-07,4,July,Sunday,1.98
149,2024-07-07,5,July,Sunday,1.42
150,2024-07-07,6,July,Sunday,1.29
151,2024-07-07,7,July,Sunday,0.29
152,2024-07-07,8,July,Sunday,-0.52
153,2024-07-07,9,July,Sunday,-6.08
154,2024-07-07,10,July,Sunday,-9.28
155,2024-07-07,11,July,Sunday,-11.36
156,2024-07-07,12,July,Sunday,-12.36
157,2024-07-07,13,July,Sunday,-20.84
158,2024-07-07,14,July,Sunday,-19.67
159,2024-07-07,15,July,Sunday,-10.51
160,2024-07-07,16,July,Sunday,-3.5
161,2024-07-07,17,July,Sunday,0.0
162,2024-07-07,18,July,Sunday,4.95
163,2024-07-07,19,July,Sunday,35.94
164,2024-07-07,20,July,Sunday,48.94
165,2024-07-07,21,July,Sunday,61.36
166,2024-07-07,22,July,Sunday,104.58
167,2024-07-07,23,July,Sunday,92.58
168,2024-07-08,0,July,Monday,81.72
169,2024-07-08,1,July,Monday,76.33
170,2024-07-08,2,July,Monday,63.88
171,2024-07-08,3,July,Monday,64.42
172,2024-07-08,4,July,Monday,66.92
173,2024-07-08,5,July,Monday,65.5
174,2024-07-08,6,July,Monday,76.11
175,2024-07-08,7,July,Monday,101.38
176,2024-07-08,8,July,Monday,100.61
177,2024-07-08,9,July,Monday,78.22
178,2024-07-08,10,July,Monday,54.6
179,2024-07-08,11,July,Monday,40.88
180,2024-07-08,12,July,Monday,35.0
181,2024-07-08,13,July,Monday,32.65
182,2024-07-08,14,July,Monday,31.98
183,2024-07-08,15,July,Monday,38.0
184,2024-07-08,16,July,Monday,37.72
185,2024-07-08,17,July,Monday,50.09
186,2024-07-08,18,July,Monday,81.38
187,2024-07-08,19,July,Monday,93.58
188,2024-07-08,20,July,Monday,103.21
189,2024-07-08,21,July,Monday,115.15
190,2024-07-08,22,July,Monday,109.0
191,2024-07-08,23,July,Monday,87.25
192,2024-07-09,0,July,Tuesday,58.29
193,2024-07-09,1,July,Tuesday,43.69
194,2024-07-09,2,July,Tuesday,28.64
195,2024-07-09,3,July,Tuesday,10.69
196,2024-07-09,4,July,Tuesday,8.71
197,2024-07-09,5,July,Tuesday,21.23
198,2024-07-09,6,July,Tuesday,25.7
199,2024-07-09,7,July,Tuesday,56.67
200,2024-07-09,8,July,Tuesday,63.44
201,2024-07-09,9,July,Tuesday,54.49
202,2024-07-09,10,July,Tuesday,46.63
203,2024-07-09,11,July,Tuesday,33.71
204,2024-07-09,12,July,Tuesday,21.95
205,2024-07-09,13,July,Tuesday,9.63
206,2024-07-09,14,July,Tuesday,8.3
207,2024-07-09,15,July,Tuesday,15.59
208,2024-07-09,16,July,Tuesday,29.39
209,2024-07-09,17,July,Tuesday,48.8
210,2024-07-09,18,July,Tuesday,60.7
211,2024-07-09,19,July,Tuesday,84.77
212,2024-07-09,20,July,Tuesday,106.18
213,2024-07-09,21,July,Tuesday,108.02
214,2024-07-09,22,July,Tuesday,88.92
215,2024-07-09,23,July,Tuesday,77.87
216,2024-07-10,0,July,Wednesday,67.91
217,2024-07-10,1,July,Wednesday,61.33
218,2024-07-10,2,July,Wednesday,62.79
219,2024-07-10,3,July,Wednesday,57.08
220,2024-07-10,4,July,Wednesday,50.32
221,2024-07-10,5,July,Wednesday,53.82
222,2024-07-10,6,July,Wednesday,67.81
223,2024-07-10,7,July,Wednesday,78.45
224,2024-07-10,8,July,Wednesday,101.92
225,2024-07-10,9,July,Wednesday,84.93
226,2024-07-10,10,July,Wednesday,65.0
227,2024-07-10,11,July,Wednesday,55.83
228,2024-07-10,12,July,Wednesday,48.7
229,2024-07-10,13,July,Wednesday,43.25
230,2024-07-10,14,July,Wednesday,38.63
231,2024-07-10,15,July,Wednesday,31.56
232,2024-07-10,16,July,Wednesday,40.08
233,2024-07-10,17,July,Wednesday,52.5
234,2024-07-10,18,July,Wednesday,75.0
235,2024-07-10,19,July,Wednesday,99.58
236,2024-07-10,20,July,Wednesday,105.0
237,2024-07-10,21,July,Wednesday,94.72
238,2024-07-10,22,July,Wednesday,102.75
239,2024-07-10,23,July,Wednesday,92.45
240,2024-07-11,0,July,Thursday,91.01
241,2024-07-11,1,July,Thursday,75.41
242,2024-07-11,2,July,Thursday,75.09
