,5€/MWh,10€/MWh,15€/MWh,20€/MWh,25€/MWh,30€/MWh,35€/MWh,40€/MWh
0.5 MW,307.66051619585835,533.6605161958583,759.6605161958583,985.6605161958583,1211.6605161958585,1437.6605161958585,1663.6605161958585,1889.6605161958585
1 MW,305.3177151329757,531.3177151329758,757.3177151329758,983.3177151329758,1209.3177151329758,1435.3177151329758,1661.3177151329758,1887.3177151329758
2 MW,302.81879295334215,528.8187929533422,754.8187929533422,980.8187929533422,1206.8187929533422,1432.8187929533422,1658.8187929533422,1884.8187929533422
3 MW,302.81879295334215,528.8187929533422,754.8187929533422,980.8187929533422,1206.8187929533422,1432.8187929533422,1658.8187929533422,1884.8187929533422
4 MW,302.81879295334215,528.8187929533422,754.8187929533422,980.8187929533422,1206.8187929533422,1432.8187929533422,1658.8187929533422,1884.8187929533422
5 MW,302.81879295334215,528.8187929533422,754.8187929533422,980.8187929533422,1206.8187929533422,1432.8187929533422,1658.8187929533422,1884.8187929533422
