,5€/MWh,10€/MWh,15€/MWh,20€/MWh,25€/MWh,30€/MWh,35€/MWh,40€/MWh
0.5 MW,39.37498675358314,46.517843896440276,53.66070103929742,60.80355818215456,67.9464153250117,75.08927246786885,82.23212961072599,89.37498675358314
1 MW,38.408540130538995,45.551397273396134,52.69425441625328,59.837111559110426,66.97996870196756,74.1228258448247,81.26568298768186,88.40854013053901
2 MW,37.04641011960811,44.18926726246524,51.33212440532239,58.474981548179535,65.61783869103668,72.76069583389382,79.90355297675096,87.0464101196081
3 MW,36.07996349656396,43.22282063942111,50.36567778227825,57.5085349251354,64.65139206799255,71.79424921084969,78.93710635370682,86.07996349656396
4 MW,35.33032925698916,42.473186399846306,49.616043542703444,56.75890068556058,63.90175782841773,71.04461497127487,78.187472114132,85.33032925698916
5 MW,34.717833485633086,41.86069062849023,49.00354777134737,56.14640491420452,63.28926205706166,70.4321191999188,77.57497634277595,84.7178334856331
